lat,long
41.85182,-87.745336
41.853839,-87.714842
41.778943,-87.644244
41.984246,-87.838028
41.87592,-87.659458
41.943623,-87.670907
41.857908,-87.669147
41.885737,-87.630886
41.970634,-87.760892
41.932732,-87.653131
41.961756,-87.675047
41.875474,-87.649707
41.831677,-87.625826
42.05416,-87.68356
41.878723,-87.63374
41.943744,-87.663619
42.001073,-87.661061
41.810318,-87.63094
41.983504,-87.65884
41.87349,-87.806961
42.019063,-87.672892
41.884321,-87.706155
41.78013,-87.615546
41.77886,-87.663766
41.722377,-87.624342
41.916157,-87.687364
41.918217,-87.652644
41.867368,-87.627402
41.939751,-87.65338
41.85177331,-87.75669201
42.041655,-87.681602
41.925051,-87.652866
41.969139,-87.658493
41.875706,-87.673932
41.884809,-87.627813
41.750419,-87.625112
41.887293,-87.774135
41.875539,-87.640984
41.936033,-87.653266
41.886988,-87.793783
41.896671,-87.628176
41.910409,-87.639302
41.94738,-87.71906
41.878183,-87.629296
41.853964,-87.705408
41.880703,-87.629378
41.966115,-87.6941
41.854517,-87.675975
41.873797,-87.725663
41.886848,-87.803176
41.88322,-87.626189
41.88422,-87.696234
42.008362,-87.665909
41.804546,-87.684019
41.891189,-87.647578
41.903355,-87.666496
41.799756,-87.724493
41.953775,-87.654929
41.896075,-87.655214
41.888969,-87.633924
41.97766526,-87.90422307
41.816462,-87.619021
41.831191,-87.630636
41.929728,-87.708541
41.909744,-87.677437
41.885269,-87.666969
41.952925,-87.729229
41.964273,-87.657588
41.853206,-87.630968
41.875568,-87.631722
41.990259,-87.659076
41.993664,-87.659202
41.947428,-87.653626
41.887389,-87.76565
41.884904,-87.716523
42.058282,-87.683337
41.809209,-87.618826
42.015876,-87.669092
41.84678,-87.648088
42.04771,-87.683543
41.89681,-87.635924
41.880745,-87.627696
41.965996,-87.708821
41.80209,-87.618487
41.795172,-87.618327
41.839234,-87.665317
41.891665,-87.628021
41.853115,-87.626402
41.871551,-87.66953
41.966286,-87.678639
41.853732,-87.724311
41.829353,-87.680622
42.027612,-87.678329
42.033456,-87.679538
41.878153,-87.627596
41.973453,-87.65853
41.876862,-87.628196
41.870851,-87.776812
41.883164,-87.62944
41.874341,-87.70604
41.780536,-87.630952
41.804236,-87.704406
41.887163,-87.754986
41.735372,-87.624717
41.875478,-87.688436
41.966163,-87.688502
41.921939,-87.69689
41.874257,-87.817318
41.983507,-87.859388
41.879507,-87.626037
41.977984,-87.658668
41.98227,-87.8089
41.938132,-87.712359
41.90392,-87.631412
41.821732,-87.621371
41.853751,-87.733258
42.038951,-87.751919
41.885586,-87.652193
41.871574,-87.745154
42.02624348,-87.74722084
41.780309,-87.605857
41.78661,-87.737875
42.063987,-87.685617
41.885412,-87.725404
41.887159,-87.783661
42.073153,-87.69073
41.79542,-87.631157
41.910655,-87.649177
41.872108,-87.791602
41.954521,-87.674868
41.867405,-87.62659
41.966046,-87.701644
41.8768,-87.631739
41.854109,-87.694774
41.854225,-87.685129
41.768367,-87.625724
41.882695,-87.63378
41.874039,-87.627479
41.885678,-87.641782
41.967901,-87.713065
41.947028,-87.674642
41.88574,-87.627835
41.886519,-87.744698
41.961539,-87.743574
41.88497405,-87.67689149
