station,url,name,lat,long
Suffolk Downs,https://en.wikipedia.org/wiki/Suffolk_Downs_station,Suffolk_Downs_station,42.3904,-70.997
Sullivan Square,https://en.wikipedia.org/wiki/Sullivan_Square_station,Sullivan_Square_station,42.384031,-71.07697
Tufts Medical Center ‡,https://en.wikipedia.org/wiki/Tufts_Medical_Center_station,Tufts_Medical_Center_station,42.3486,-71.0645
Union Square †,https://en.wikipedia.org/wiki/Union_Square_station_(Somerville),Union_Square_station_(Somerville),42.37714444,-71.09429167
Valley Road,https://en.wikipedia.org/wiki/Valley_Road_station,Valley_Road_station,42.267772,-71.083025
Waban,https://en.wikipedia.org/wiki/Waban_station,Waban_station,42.32583333,-71.23055556
Wellington,https://en.wikipedia.org/wiki/Wellington_station_(MBTA),Wellington_station_(MBTA),42.401907,-71.077096
Wollaston,https://en.wikipedia.org/wiki/Wollaston_station,Wollaston_station,42.265638,-71.01953
Wonderland †,https://en.wikipedia.org/wiki/Wonderland_station,Wonderland_station,42.4135,-70.9918
Wood Island,https://en.wikipedia.org/wiki/Wood_Island_station,Wood_Island_station,42.3797,-71.023
Woodland,https://en.wikipedia.org/wiki/Woodland_station,Woodland_station,42.33305556,-71.24361111
Woodland,https://en.wikipedia.org/wiki/Woodland_station,Woodland_station,42.33305556,-71.24361111
